City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sinnamary,GF,2021-04-27 19:29:10,5.3833,-52.95,76.01,84,100,0.74
68,Tabuk,PH,2021-04-27 19:29:10,17.4189,121.4443,72.03,82,84,0.92
69,Kutum,SD,2021-04-27 19:29:10,14.2,24.6667,79.81,11,42,7.38
70,Usolye,RU,2021-04-27 19:29:10,59.4268,56.6808,37.0,100,100,3.2
71,Darhan,MN,2021-04-27 19:29:11,49.4867,105.9228,36.43,61,90,5.44
72,Bam,IR,2021-04-27 19:29:11,29.106,58.357,78.35,20,2,8.32
73,Kavieng,PG,2021-04-27 19:29:11,-2.5744,150.7967,81.93,73,87,4.18
74,Maumere,ID,2021-04-27 19:29:11,-8.6199,122.2111,76.41,70,79,5.86
75,Camopi,GF,2021-04-27 19:29:12,3.1655,-52.3158,79.39,85,100,2.35
76,Tucurui,BR,2021-04-27 19:29:12,-3.7661,-49.6725,83.62,76,92,3.42
77,Nanortalik,GL,2021-04-27 19:29:12,60.1432,-45.2371,35.78,84,6,5.12
78,Okhotsk,RU,2021-04-27 19:29:12,59.3833,143.3,23.77,92,61,3.0
79,Pak Phanang,TH,2021-04-27 19:29:13,8.3511,100.202,78.67,83,100,3.8
80,Tura,IN,2021-04-27 19:29:13,25.5198,90.2201,77.27,47,92,4.21
81,Yar-Sale,RU,2021-04-27 19:29:13,66.8333,70.8333,30.31,97,100,9.89
82,Katobu,ID,2021-04-27 19:29:13,-4.9408,122.5276,74.57,93,8,2.71
83,Thompson,CA,2021-04-27 19:29:14,55.7435,-97.8558,24.8,58,75,18.41
84,Gizo,SB,2021-04-27 19:25:08,-8.103,156.8419,80.31,78,100,4.21
85,Kaitangata,NZ,2021-04-27 19:29:14,-46.2817,169.8464,42.01,78,88,5.01
86,Georgetown,MY,2021-04-27 19:29:14,5.4112,100.3354,80.6,89,40,3.49
87,Nikolskoye,RU,2021-04-27 19:29:14,59.7035,30.7861,37.4,65,75,4.47
88,Krasnoselkup,RU,2021-04-27 19:29:15,65.7,82.4667,32.16,98,100,7.27
89,Saint Anthony,US,2021-04-27 19:29:15,45.0205,-93.218,52.0,71,90,9.22
90,Rolla,US,2021-04-27 19:29:15,37.9514,-91.7713,80.01,57,1,14.97
91,Saint-Philippe,RE,2021-04-27 19:29:16,-21.3585,55.7679,75.2,88,75,4.61
92,Rio Pardo,BR,2021-04-27 19:29:16,-29.9897,-52.3781,73.72,29,0,5.28
93,Morondava,MG,2021-04-27 19:29:16,-20.2833,44.2833,79.97,78,0,6.33
94,Tokur,RU,2021-04-27 19:29:16,53.1333,132.9,35.78,93,100,3.0
95,Lisakovsk,KZ,2021-04-27 19:28:07,52.5369,62.4936,48.63,96,88,8.9
96,Caravelas,BR,2021-04-27 19:29:17,-17.7125,-39.2481,80.62,63,9,8.61
97,Florida,US,2021-04-27 19:28:20,28.7505,-82.5001,89.01,37,1,9.22
98,Codrington,AU,2021-04-27 19:29:17,-38.2667,141.9667,47.21,91,7,5.06
99,Dikson,RU,2021-04-27 19:29:17,73.5069,80.5464,32.09,97,100,16.55
100,Te Anau,NZ,2021-04-27 19:29:18,-45.4167,167.7167,34.95,87,89,1.68
101,San Quintin,MX,2021-04-27 19:29:18,30.4833,-115.95,56.89,75,99,1.99
102,Praxedis Guerrero,MX,2021-04-27 19:29:18,31.3667,-106.0167,77.0,12,40,13.8
103,Vaini,TO,2021-04-27 19:29:18,-21.2,-175.2,73.4,88,90,21.85
104,Cherskiy,RU,2021-04-27 19:29:19,68.75,161.3,10.98,94,34,6.93
105,Makakilo City,US,2021-04-27 19:29:19,21.3469,-158.0858,78.01,78,75,6.91
106,East London,ZA,2021-04-27 19:29:19,-33.0153,27.9116,64.4,68,0,8.05
107,Norman Wells,CA,2021-04-27 19:29:19,65.282,-126.8329,19.4,35,75,9.22
108,Altay,CN,2021-04-27 19:29:20,47.8667,88.1167,44.73,45,100,6.85
109,Saint George,US,2021-04-27 19:29:20,37.1041,-113.5841,57.99,58,20,5.75
110,Phuthaditjhaba,ZA,2021-04-27 19:29:20,-28.5242,28.8158,56.52,43,66,3.74
111,Avarua,CK,2021-04-27 19:29:20,-21.2078,-159.775,78.8,89,20,3.44
112,Fortuna,US,2021-04-27 19:29:21,40.5982,-124.1573,62.01,76,20,9.22
113,Bengkulu,ID,2021-04-27 19:29:21,-3.8004,102.2655,75.51,90,26,4.27
114,Alfeld,DE,2021-04-27 19:29:21,51.9838,9.8199,43.0,63,6,5.66
115,Khandbari,NP,2021-04-27 19:29:22,27.3747,87.2039,68.99,29,0,4.94
116,Tasiilaq,GL,2021-04-27 19:29:22,65.6145,-37.6368,35.6,80,75,4.61
117,Bredasdorp,ZA,2021-04-27 19:29:22,-34.5322,20.0403,59.0,82,100,3.44
118,Esso,RU,2021-04-27 19:29:22,55.9333,158.7,27.82,96,100,1.83
119,Constitucion,CL,2021-04-27 19:29:23,-35.3333,-72.4167,64.65,56,1,9.89
120,Kaihua,CN,2021-04-27 19:29:23,23.3687,104.28,63.21,96,100,3.67
121,Port Macquarie,AU,2021-04-27 19:26:29,-31.4333,152.9167,55.99,89,54,1.99
122,North Salt Lake,US,2021-04-27 19:29:23,40.8486,-111.9069,50.0,57,75,16.11
